operational_month,avg_nas_delay_mins,avg_security_delay_mins,avg_carrier_delay_mins,avg_cascading_delay_mins,avg_direct_weather_delay_mins
1,13.49,0.07,17.94,24.02,3.01
2,15.99,0.04,18.31,23.93,5.18
